1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 35 36 37 38 39 40 41
35327 741 356 1023 7254 0 3844 1808 11 14 83 63 78 502 603 1231 1242 2461 398 729 628 164 314 346 1325 2493 44 1000 989 4065 4021 906 260 10525 2328 11715 3846 1914 125 524 1139
78656 533 279 925 5287 0 3318 1341 6 3 57 33 40 320 530 880 899 1903 308 583 442 120 293 317 1090 1906 63 923 820 3735 3474 691 295 9728 1932 9751 3729 1823 119 366 886
84201 577 212 863 5396 0 3562 1258 24 14 66 72 44 332 519 817 784 1923 353 652 444 136 303 393 1114 1941 42 980 913 4314 3845 730 205 10296 1937 11014 4082 1857 129 442 912
7168 501 278 819 4808 0 4215 1389 16 17 56 80 56 405 512 1127 836 2631 477 836 516 183 378 556 1606 2408 41 1360 929 5337 4652 809 262 11951 2271 13128 5177 2056 148 502 901
48100 483 260 887 4895 0 4577 1629 22 17 65 82 79 467 529 983 869 2875 550 1030 584 212 467 693 1850 2772 63 1555 1009 5789 5293 808 239 13409 2832 15051 5832 2206 148 600 940
91322 702 337 885 6395 0 6192 2104 36 43 102 155 86 583 741 1608 1286 3889 875 1496 850 271 687 1027 2690 4166 86 2212 1411 9007 7702 1006 314 18649 3989 21604 8169 3041 241 744 1334
180480 724 367 898 6921 0 5742 2177 24 30 104 216 114 577 815 1664 1374 3532 1006 1756 916 293 572 1030 2822 4519 89 2405 1555 11471 9350 1133 358 24126 5033 27085 10309 3663 226 839 1623
5030 256 214 435 2859 0 1121 567 1 6 31 65 16 145 234 590 428 805 216 419 245 104 133 164 782 969 20 560 512 2766 2124 395 160 7871 1484 6930 2895 994 74 277 529
72025 570 294 860 5977 0 1349 728 6 12 41 33 47 255 386 576 610 965 153 283 385 108 128 111 753 875 18 435 678 2576 2743 560 166 8100 1981 10965 3520 1044 85 352 733
40053 512 221 880 4979 0 1561 812 2 8 40 19 41 216 378 565 599 933 187 287 391 120 142 90 687 866 27 453 701 2105 2390 550 173 7521 1850 8408 2398 1082 88 419 739
39874 552 246 877 5301 0 1773 869 1 12 40 34 53 237 432 647 606 1070 214 329 384 110 176 111 708 958 40 520 723 2085 1905 662 173 8192 1537 7701 2293 1129 91 383 783
81874 483 220 1003 5660 0 1933 1005 10 10 54 30 111 281 357 689 733 1071 214 350 427 109 194 126 842 1196 20 575 777 1965 1691 714 175 7989 1580 6363 1950 1081 88 461 773
29757 556 289 781 5477 0 2204 1177 6 27 49 43 83 296 542 770 842 1367 331 395 595 143 205 147 907 1403 38 736 1001 2134 2041 759 175 9286 2110 7840 2165 1315 124 435 1039
114968 588 331 784 6053 0 2127 1324 5 31 69 58 68 337 590 978 1138 1508 281 400 552 128 234 153 1066 1541 20 888 1145 2111 2039 824 226 8940 1954 7288 2129 1516 119 507 1008
27010 749 395 1012 7578 0 1790 1365 10 21 88 41 66 423 742 1040 1248 1530 226 371 563 167 169 101 1103 1383 37 661 1069 1922 1681 955 271 8178 1518 6215 1726 1347 120 432 1178
162186 603 256 946 5683 0 1283 908 3 21 47 32 39 241 452 639 663 1029 178 298 450 192 133 107 758 784 19 453 797 1497 1410 722 175 7376 1345 5698 1586 995 123 338 762
114759 417 227 714 4484 0 1494 902 5 6 44 45 108 268 341 583 632 955 192 292 379 94 131 92 825 893 25 490 817 1440 1310 706 150 7425 1305 4683 1431 958 109 370 743
85664 445 274 844 5112 0 1669 1064 8 17 51 39 40 207 390 687 823 1057 206 291 477 99 124 111 734 1041 11 503 894 1549 1426 785 190 7191 1238 4825 1458 998 133 360 933
7298 396 261 907 4457 0 1686 1083 8 9 62 45 49 215 379 713 663 1255 219 317 491 96 153 116 877 1144 21 598 914 1420 1044 763 148 7020 1160 4372 1212 1139 121 444 774
8393 460 258 711 4962 0 2088 1298 3 16 46 50 57 260 495 758 868 1368 333 375 666 122 134 146 939 1407 53 729 1104 1977 1448 864 180 7844 1493 5065 1514 1314 113 449 795
87516 558 303 773 6095 0 2296 1441 3 25 52 67 64 316 590 1009 1032 1550 295 427 614 126 187 154 1021 1558 18 812 1175 1881 1234 914 217 7948 1399 5209 1312 1546 135 496 985
9398 756 351 776 7459 0 2162 1668 4 24 73 35 76 348 643 1138 1124 1580 236 510 605 141 189 126 1031 1344 18 650 1171 1598 1335 1105 154 7369 1388 5026 1395 1645 157 477 1041
7237 571 240 811 6124 0 1484 1261 8 17 43 36 65 235 469 755 795 1144 191 281 471 90 127 92 757 937 14 479 925 1321 1011 866 166 6376 1049 4030 1106 1199 122 412 760
7618 463 209 783 4874 0 1731 996 12 14 49 29 120 216 410 752 622 1057 192 274 383 115 104 79 730 1068 20 432 848 1288 951 853 158 6261 1131 3737 1305 1116 133 413 733
8434 453 187 764 4749 0 1547 1159 12 12 42 39 21 205 503 705 594 1208 215 298 421 129 131 99 761 958 18 529 906 1332 1146 874 172 6172 1117 4060 1194 1288 159 400 782
10195 447 263 605 4364 0 2759 1308 9 15 48 38 34 204 342 746 671 1444 251 357 453 94 130 141 807 1231 18 565 983 1281 914 896 156 6490 1223 4223 1143 1419 140 445 772
18968 527 273 698 5092 0 2203 1393 5 14 47 45 61 271 514 816 916 1538 299 379 499 109 152 150 894 1436 24 814 1175 1518 1103 1039 168 6703 1365 5057 1256 1546 185 496 915
20349 586 309 715 5860 0 2035 1635 2 28 58 55 75 353 483 1054 1120 1710 339 396 532 104 190 153 1141 1506 32 827 1221 1595 1130 992 193 6986 1470 5164 1392 1713 157 565 1071
21154 759 322 811 7629 0 1711 1468 10 18 72 60 64 283 431 935 1112 1491 256 438 591 121 173 98 1059 1293 17 717 1246 1339 1170 1171 256 6860 1395 5337 1375 1490 154 502 1083
18338 445 222 648 5647 0 1405 1086 4 13 56 29 41 216 401 722 764 1119 141 273 507 103 120 78 845 948 20 477 929 1125 879 868 200 6141 1227 4158 1288 1270 105 400 784
18429 508 259 1352 5622 0 1848 1180 10 12 38 46 68 243 425 735 789 1155 225 325 449 117 122 98 803 1146 20 494 1005 1331 961 930 166 6270 1247 4350 1271 1319 157 380 758
17844 477 223 885 4850 0 1909 1150 5 11 67 21 42 229 475 753 789 1396 226 328 519 103 116 143 837 1124 18 558 977 1490 920 1026 201 6477 1268 4577 1343 1317 123 471 812
16090 463 214 767 4847 0 2158 1378 16 10 40 50 72 227 471 776 762 1415 295 333 510 111 145 124 876 1328 21 636 1108 1573 791 963 187 6748 1291 4881 1339 1441 166 498 852
17953 616 274 653 6018 0 2192 1658 11 19 37 44 50 285 514 868 950 1565 298 405 538 129 171 130 1013 1500 27 960 1242 1713 1080 998 211 7260 1558 5505 1582 1724 165 526 906
20858 583 350 711 6243 0 2411 1683 14 15 59 53 61 365 551 1072 1124 1789 333 441 616 108 174 132 1130 1648 36 1056 1372 1768 1294 1112 220 7412 1728 5844 1657 1809 184 490 1069
18917 630 418 827 7631 0 2268 1878 9 16 65 42 54 326 650 1020 1161 1487 275 405 623 126 168 121 1037 1566 21 781 1271 1641 1147 1067 190 6957 1518 5668 1622 1608 170 510 1007
16369 538 320 864 5976 0 1971 1400 17 14 60 44 37 258 486 752 877 1343 199 272 503 110 104 127 848 1220 18 599 980 1537 892 848 172 6146 1362 4711 1686 1234 131 432 772
16035 520 279 939 5188 0 2077 1422 12 9 61 52 75 227 444 782 738 1327 213 307 450 122 118 123 831 1081 14 609 1003 1262 937 841 165 6078 1474 4801 1570 1273 104 408 764
18736 532 250 881 5246 0 2335 1447 8 13 55 37 66 237 545 731 803 1390 260 311 523 112 133 156 844 1391 5 691 992 1609 984 992 175 6337 1573 5289 1719 1310 164 491 776
15938 432 255 874 5203 0 2601 1559 12 10 60 56 45 206 524 805 810 1604 291 368 469 116 138 155 889 1632 37 732 1160 1564 1056 898 179 6060 1625 5443 1846 1428 157 502 927
20758 580 258 697 5008 0 3104 1694 15 14 72 51 63 277 610 832 1001 1957 375 423 542 124 150 174 1060 2020 29 1116 1333 1751 1105 995 200 6619 1828 6198 2278 1754 147 506 972
30941 629 315 694 6507 0 3484 2016 13 17 66 74 74 462 803 1194 1404 2508 443 579 657 143 196 219 1461 2496 44 1386 1456 2241 1297 1124 237 7706 2095 7299 2890 1899 186 531 1209
20517 552 333 699 5287 0 1978 1240 7 9 32 46 48 270 593 722 900 1467 317 348 475 114 116 103 961 1548 15 878 1546 1642 1026 857 194 6279 1642 5018 2227 1589 112 402 986
16975 606 263 979 6605 0 1730 1104 16 8 42 28 76 217 499 751 777 1269 206 279 525 75 120 99 801 1126 18 684 1491 1440 870 805 185 5565 1381 4339 1114 1373 125 356 899
19535 515 294 792 6045 0 2105 1218 10 4 28 28 44 229 472 715 716 1247 202 279 413 94 130 127 811 1184 14 725 1347 1375 872 848 201 5935 1442 4393 1110 1295 123 395 821
18500 395 255 916 5312 0 2035 1143 9 12 42 33 33 249 480 651 631 1284 258 327 462 100 117 118 798 1272 25 823 1622 1289 988 906 184 5619 1414 4790 1215 1346 136 468 827
20148 485 218 845 4908 0 2038 1352 11 12 42 30 60 245 468 666 682 1317 293 322 400 110 120 132 817 1405 29 969 1614 1434 852 885 212 5676 1598 4907 1060 1469 153 439 866
20961 543 263 741 5587 0 2134 1441 11 13 31 65 50 265 523 731 860 1500 258 361 509 92 142 126 989 1611 20 1400 1826 1557 962 920 200 6081 1590 5703 1234 1638 158 426 978
26386 511 278 600 5857 0 2330 1642 7 19 53 57 65 330 542 922 968 1710 320 355 517 131 143 127 979 1652 23 1832 1842 1692 1117 926 241 6273 1596 6222 1231 1586 166 520 1048
22812 614 376 777 6556 0 1703 1664 4 9 35 45 59 273 584 820 1001 1563 254 319 567 85 114 106 1049 1356 27 1230 1508 1542 1156 963 196 6391 1438 5458 1056 1657 172 450 1164
19687 524 292 833 5712 0 1577 1421 7 20 44 33 42 241 495 607 707 1249 199 283 428 101 105 110 852 1070 16 1000 1234 1282 809 681 208 5745 1150 4637 1011 1240 137 349 911
20473 470 218 708 4676 0 1676 1463 7 11 45 40 48 208 341 609 667 1289 272 274 482 86 96 108 824 1100 16 1152 1206 1279 811 735 166 6055 1177 4500 1093 1248 135 301 769
20540 433 194 675 4924 0 1801 1441 10 13 44 49 81 178 420 597 676 1387 249 303 490 111 166 133 831 1180 15 1378 1383 1492 901 732 239 6337 1311 5016 1095 1426 173 306 846
22358 362 211 593 4412 0 1981 1719 7 8 38 39 65 250 427 733 843 1667 271 329 478 101 93 165 938 1187 15 1785 1552 1711 956 802 203 6342 1298 5554 1071 1588 169 366 905
25086 547 284 769 5911 0 2438 2094 16 14 51 61 58 321 610 836 1076 2078 384 449 642 145 149 178 1168 1666 22 3256 2094 1983 1143 933 238 7571 1763 7547 1287 1897 206 482 1096
25957 520 303 649 5636 0 2403 2038 21 13 47 80 58 360 562 805 1149 1833 392 467 675 140 153 192 1245 1668 18 2463 1813 1873 1050 901 246 7493 1627 6466 1142 1827 193 354 1115
22406 498 283 674 4910 0 1965 1700 5 6 47 59 41 294 423 717 895 1423 352 346 586 94 122 129 1086 1373 25 1816 1376 1651 970 688 192 6122 1536 4944 959 1559 160 362 815
20411 480 235 617 5290 0 1505 1365 3 10 26 49 41 208 447 489 742 1301 252 282 551 108 90 113 923 990 18 1227 1111 1685 857 559 179 5761 1290 3782 878 1223 125 232 793
19513 418 243 675 5214 0 1683 1095 21 4 43 28 37 190 396 495 602 1177 233 259 487 97 105 96 774 881 15 726 1086 1450 758 730 155 6196 1200 3886 1033 1246 129 388 860
18512 372 202 576 5002 0 1705 1204 11 10 41 39 37 158 466 595 547 1211 218 257 480 105 83 104 761 1002 15 824 1052 1353 815 832 152 6008 1230 4168 914 1273 151 396 790
20040 448 158 664 5129 0 1999 1434 5 6 26 30 36 232 437 617 707 1295 307 312 473 90 121 142 877 1160 16 937 1156 1644 846 752 189 6367 1303 4280 1112 1454 150 369 748
21325 494 258 1181 5848 0 2629 1932 17 14 43 49 61 256 669 845 1064 1588 339 374 556 109 175 141 1003 1672 21 1148 1458 1961 1132 979 184 7474 1789 5289 1291 1789 184 437 888
22476 612 307 792 6289 0 2319 1874 7 17 66 53 67 344 579 977 1206 1601 367 447 673 116 157 140 1118 1661 21 1429 1514 2043 1154 1001 220 7604 1798 5511 1414 1907 200 426 1059
21498 652 347 775 7223 0 2007 1972 1 20 66 46 68 322 652 905 1241 1519 299 334 654 137 158 119 1066 1386 22 1116 1464 2057 1155 989 284 6922 1425 4969 1142 1879 181 475 1074
18231 534 230 780 6036 0 1904 1527 6 16 48 30 50 253 576 745 901 1247 282 323 555 149 107 136 921 1247 24 837 1140 1793 992 868 190 6639 1342 4246 1195 1503 140 415 965
18018 471 211 807 5117 0 1708 1361 14 11 40 38 60 229 479 643 788 1228 216 278 524 103 130 120 817 1107 22 822 1293 1603 989 792 233 6777 1236 4218 1206 1574 159 425 865
17268 434 233 797 4437 0 1994 1633 9 16 36 47 46 238 454 697 823 1253 258 320 573 116 116 150 872 1264 17 865 1293 1583 1009 957 214 6498 1217 4633 1163 1578 171 443 776
16657 477 272 836 4866 0 2036 1635 7 11 37 49 48 233 389 619 896 1362 298 329 517 106 133 120 849 1308 39 1000 1329 1679 1091 912 199 7008 1287 4737 1210 1730 151 465 912
18624 477 239 768 5256 0 2080 1896 7 11 53 57 65 294 467 771 1083 1555 342 393 568 92 150 144 1101 1422 25 1276 1551 1929 1198 1072 251 7211 1513 5658 1295 1937 202 449 953
19104 527 311 644 5557 0 2103 1988 18 9 35 52 64 313 546 814 1294 1557 313 370 623 102 125 144 1166 1562 24 1336 1553 2035 1210 1017 259 7046 1528 5571 1233 2015 170 481 1079
